"Device ID","UTC Timestamp","Ev_sc_D65 in lx","Ev_mc_D65 in lx","Ev_lc_D65 in lx","Ev_rh_D65 in lx","Ev_mel_D65 in lx","Ev in lx","CCT in K","Duv","Tilt in °","TriggeredByUser","Ee_sc in W/m^2","Ee_mc in W/m^2","Ee_lc in W/m^2","Ee_rh in W/m^2","Ee_mel in W/m^2"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:47:11","320.72714624938163","573.806732076111","644.31374940178364","424.26736651758665","375.38106717394072","651.423885195026","3927.7219082992719","0.0068662939096288955","-7.89514210504579","False","0.26213029662961962","0.83534784055640232","1.0495226664005655","0.6150604012405454","0.49783037128608021"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:47:21","79.4504202408664","169.24882439310602","204.51580547118661","105.32617152467381","86.907200134924139","206.01111365133426","3241.3920084370952","0.0020818882479400613","-1.7030030132282334","False","0.064934828462860111","0.24639243855148371","0.33313579553201589","0.15269135085931962","0.11525632881893641"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:47:31","227.4534033852897","331.95307179683692","368.831806778471","269.414444554674","250.65825304806049","369.060340944223","4155.5315272786147","0.0010354674795531732","-8.969228618246504","False","0.18589766658679729","0.4832572819218352","0.60079013006145143","0.39057012027091093","0.33242297519233788"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:47:41","632.02765087777288","689.35524656008806","706.54436806187346","621.93936011150129","608.31498000338968","715.52039671184241","5679.0807016213075","0.0058043500620623273","15.585360156156666","True","0.5165561990624038","1.0035633679421763","1.1508901211359857","0.90162549035364337","0.80674732648049541"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:47:51","431.27979063616243","650.69855895782393","680.996326557509","675.78133673354523","667.44225506334919","659.90931501146338","4740.1129616756407","0.0072334551405559416","-1.9088875243093488","False","0.35248497288693559","0.9472869621308001","1.1092749163295264","0.97968020386262056","0.8851619186650137"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:48:01","220.30449666337435","401.34296000484824","451.31563563179418","291.12711418277729","254.37526515732805","457.41375871418137","3913.8554015772338","0.0074283315602271388","-4.5174167823786426","False","0.18005486512297586","0.58427508117505811","0.73514803888062952","0.42204697743077224","0.33735247665164847"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:48:11","208.10413399027374","376.77606827925126","425.8452940686837","274.65429459031634","241.38718359781822","430.4526719181294","3861.5693909801994","0.0062506608492157306","-12.312889263646635","False","0.17008350871025074","0.548510600200934","0.69365939950847888","0.39816633086758157","0.32012768288742655"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:48:21","228.06747691701412","441.40279889343128","502.27878789688094","307.68768135218846","263.34279532860018","509.72309779757796","3779.6948246288553","0.0075596945747509747","4.0092588554729085","False","0.18639954888427565","0.6425941946290572","0.81816191760522949","0.44605483165626758","0.34924521516478957"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:48:31","239.4085157768225","467.80795434292583","532.282531242984","326.36837036604248","278.95481092551972","540.09355239987087","3776.2326001307088","0.0077797872085293845","9.9371475558741729","False","0.19566857994439701","0.68103481993243142","0.86703501514169656","0.47313622651965176","0.36994987024942427"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:48:41","221.69702358990259","455.7331870817369","523.0105868075384","310.49168403052681","261.78007435295456","530.6711465634819","3680.4943664029261","0.0078991601528952543","14.467249704873922","False","0.1811929773800274","0.66345637375359257","0.85193194485079926","0.45011979433905469","0.34717273460688836"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:48:51","206.66876712002176","430.33040882293193","495.72990237081171","294.62668466146852","249.035148407945","501.8805918826078","3637.5208334799477","0.0074423480425905852","27.332045836461248","False","0.16891038336719377","0.62647500916442433","0.80749443797181519","0.42712030475373092","0.33027041381861666"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:49:01","211.30465598753114","434.36676347512332","499.232574142814","297.40758119311369","251.57966494057359","505.89306339361195","3664.0989003158252","0.0075493700641345585","15.819193947500144","False","0.1726992953386092","0.63235113426708456","0.81319994002122964","0.43115177045565689","0.33364495164418873"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:49:11","216.28055509638543","445.61163955758605","512.08310154454455","305.23718069274474","258.15781485340403","518.90432386874147","3664.4135843534218","0.0076175411588006864","16.386559601555295","False","0.17676609768027582","0.64872142486793372","0.83413216410590851","0.44250234085027207","0.34236889405858451"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:49:21","217.41992512736672","450.46899732938789","518.16893361936945","307.92786794154091","260.10406783776915","525.02106191663563","3653.8164402605271","0.0076142368634791735","19.323799169682133","False","0.17769730480659682","0.65579276631212291","0.84404537597259088","0.44640303015485189","0.34495001476644943"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:49:31","215.78235065997086","448.090381646343","515.68446868376884","306.06109062369904","258.41530524828164","522.4610512133404","3648.6199331732905","0.0075959072863419769","20.769431339547541","False","0.1763589151943942","0.65232997760074618","0.839998431038991","0.44369676307717654","0.34271037782027114"
"0xF26C0000CDF10032000D700652594E45","09/02/2022 10:49:41","177.77993897255411","379.25402852130571","439.05925740264365","258.49134106327227","218.15403283657398","443.90319504827744","3582.8317315867307","0.0072365837820450585","23.871853306254742","False","0.14529954412226848","0.55211801472131683","0.71518362438316629","0.37473489713942576","0.28931587834786443"
