"Device ID","UTC Timestamp","Ev_sc_D65 in lx","Ev_mc_D65 in lx","Ev_lc_D65 in lx","Ev_rh_D65 in lx","Ev_mel_D65 in lx","Ev in lx","CCT in K","Duv","Tilt in °","TriggeredByUser","Ee_sc in W/m^2","Ee_mc in W/m^2","Ee_lc in W/m^2","Ee_rh in W/m^2","Ee_mel in W/m^2"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:11:48","114.74835676035259","243.52708336151761","285.42469876588234","153.44287974075752","125.69876848636643","290.35667895745593","3499.8164601640815","0.00650426819585527","1.75062900717209","False","0.093783831980236182","0.3545267279576973","0.46492829181974571","0.22244614276017616","0.16670170676661916"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:11:58","152.34589690580222","318.27166413658841","369.76865359160695","217.2280750652246","184.59236280247356","373.30715623710523","3555.2336165170109","0.0061772672514547322","5.7407707136709716","True","0.12451230154111216","0.46333988865004538","0.60231615983536857","0.31491554042205611","0.24480639154864045"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:12:08","67.106088272747726","143.6679567338976","170.33209586899818","89.058991544857918","72.828686172370766","172.87621888800331","3399.9824876246835","0.0051522778973891736","-5.0720003803753224","False","0.054845805945316711","0.20915181141320813","0.27745395096101111","0.12910882004258051","0.0965854036017981"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:12:18","53.572483696605509","119.95249098520868","147.13333445184284","74.681528722435843","61.990664986390186","147.33488055718308","3106.1356926193635","0.0010973990405974826","-7.0033853623510911","False","0.043784790925235684","0.1746268363762668","0.2396654884886068","0.10826581218891525","0.082212019904950667"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:12:28","196.83498649362551","234.10022595164526","252.35904500265372","135.70826518627149","112.04342965734757","269.35681212669124","4892.2049061159614","0.0075477262359732872","-25.665173796978085","False","0.16087323446124013","0.34080310894040516","0.41106764840482268","0.19673627204053779","0.14859199641157436"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:12:38","167.86341701502326","219.25059281702019","231.88076862530213","195.74683504922933","188.94568088438118","232.11928106588789","4852.2785245776431","0.00519132182030263","-11.229686965474931","False","0.13719477072637851","0.319185013023018","0.37771058401375462","0.28377418677086774","0.25057976198886633"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:12:48","34.854973220891026","73.797400701379431","88.371326682220413","49.406211544578731","42.399426328657476","88.446510111985262","3285.7159721760827","0.0021518757741251504","-28.310089184237462","False","0.028486969613434238","0.10743425594106816","0.14394805403266883","0.071624184876175792","0.05623011919706554"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:12:58","32.981178107646016","75.633067212798863","91.973361043870568","50.079320208286106","42.703798750253583","91.634178430463791","3143.0951408935666","0.0018452301238989083","30.5640250210248","False","0.026955516867379091","0.11010661924839257","0.14981540780436076","0.072599990505952366","0.0566337779025863"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:13:08","217.03284210219439","409.20682158979588","467.75289733618786","263.15357856710187","218.05481639487172","479.43053364634773","3777.5809445427381","0.0076476393364001","-11.111844598198218","False","0.17738094185012349","0.59572329087042486","0.76192269447091643","0.38149374284872756","0.28918429750287888"
"0xF26C0000CDF10032000A700652594E45","02/02/2022 15:13:18","153.85279837714808","354.77022511792234","417.23764589773145","230.66833368879668","190.05212848607056","421.95788655375856","3433.1627478370897","0.0071552983336663767","-1.8180740983269874","False","0.12574389211364312","0.51647449372667131","0.67963840140281473","0.33439988334864856","0.25204713279822677"
