"Device ID","UTC Timestamp","Ev_sc_D65 in lx","Ev_mc_D65 in lx","Ev_lc_D65 in lx","Ev_rh_D65 in lx","Ev_mel_D65 in lx","Ev in lx","CCT in K","Duv","Tilt in °","TriggeredByUser","Ee_sc in W/m^2","Ee_mc in W/m^2","Ee_lc in W/m^2","Ee_rh in W/m^2","Ee_mel in W/m^2"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:06:06","296.87684762192129","563.83878997642535","630.84185616862646","401.07535604535644","344.91874795310383","642.3813477096628","3951.6677426002448","0.00980637192139891","-5.3223424233719276","False","0.24263744756139627","0.82083651044768","1.0275782995130756","0.58143894365895321","0.45743124353540632"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:06:16","171.56855106416521","351.544283813206","400.01333137301145","274.11529111848404","245.15466161091047","398.57458650594725","3408.8393459729482","0.0034894404524633341","-1.3964727736734033","True","0.14022297678474222","0.51177816837526524","0.6515817154734983","0.39738493753446624","0.32512411222838944"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:06:26","296.87684762192129","563.83878997642535","630.84185616862646","401.07535604535644","344.91874795310383","642.3813477096628","3925.8604589763086","0.00980637192139891","-5.3223424233719276","False","0.24263744756139627","0.82083651044768","1.0275782995130756","0.58143894365895321","0.45743124353540632"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:06:36","262.53942831045293","523.613588564459","590.03157312622216","365.10536478650408","310.24114591303993","600.85009838682754","3844.5190453470359","0.010090673966558925","-1.3964727736734033","False","0.21457347475813315","0.7622766622321393","0.96110242946530311","0.52929324733099492","0.4114418077098736"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:06:46","296.87684762192129","563.83878997642535","630.84185616862646","401.07535604535644","340.36726360764368","642.3813477096628","3925.8604589763086","0.010374976011718939","-1.7615578730149217","False","0.24263744756139627","0.82083651044768","1.0275782995130756","0.58143894365895321","0.4513950649964571"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:06:56","297.58618693311314","570.30886126873088","637.43294739776547","401.54539642977511","342.64300578037376","649.6704832221609","3938.7641007882767","0.010556990064950325","-1.7618702490960683","False","0.2432171905804334","0.83025564023501841","1.0383145280162203","0.58212036120424493","0.45441315426593171"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:07:06","296.87684762192129","563.83878997642535","630.84185616862646","401.07535604535644","340.36726360764368","642.3813477096628","3951.6677426002448","0.010374976011718939","-1.7615578730149217","False","0.24263744756139627","0.82083651044768","1.0275782995130756","0.58143894365895321","0.4513950649964571"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:07:16","297.58618693311314","570.30886126873088","637.43294739776547","401.54539642977511","342.64300578037376","649.6704832221609","3959.8365313538297","0.0102315316629292","-1.7618702490960683","False","0.2432171905804334","0.83025564023501841","1.0383145280162203","0.58212036120424493","0.45441315426593171"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:07:26","298.29552624430505","576.77893256103641","644.02403862690448","402.01543681419383","344.91874795310383","656.959618734659","3968.0053201074143","0.01008808731413946","-1.7615578730149217","False","0.24379693359947055","0.8396747700223568","1.0490507565193648","0.58280177874953676","0.45743124353540632"
"0xF26C0000CDF100060028700652594E45","09/02/2022 14:07:36","299.88514332154443","578.02979779695443","645.41341926553923","404.73311538780717","346.207166013139","659.30669274036154","3975.73170202262","0.0099472296177691849","-1.7618702490960683","False","0.24509612763669827","0.84149577963280631","1.0513139186416369","0.586741597377704","0.45913994356662491"
